image,L_m,L_s,A_m,A_s,B_m,B_s,height,width,ver_symm,hor_symm,cent_symm,feat_num
ISIC_0000002,110.32364482677352,24.46699276686197,139.96203747348574,2.954967224069467,133.8502651425878,4.677560996926521,573,566,0.7728611831251473,0.7383455102521801,0.7728611831251473,234
ISIC_0000004,152.3072621158017,56.49882378326552,149.04919972977228,14.075268668294518,123.41637163421733,8.008421418859504,677,700,0.9829329865749653,0.9656729533552427,0.9829329865749653,67
ISIC_0000013,57.8430426845982,26.764767150767803,136.46590889209003,6.625579072228587,137.1926726425493,7.202826517324395,483,537,0.7819113881971458,0.7844599835536867,0.7819113881971458,171
ISIC_0000022_downsampled,108.78933192991146,18.03593833516057,145.51562751532413,3.6233374711400357,150.47034239365982,3.5915211898441566,491,674,0.6989598167296143,0.8005324747693642,0.6989598167296143,319
ISIC_0000026_downsampled,125.98568731253826,11.364310689129635,146.22488720141172,2.5629834588859155,138.0655080695364,4.649027758633691,538,708,0.560551105348994,0.5725074984694376,0.560551105348994,282
ISIC_0000029_downsampled,67.07047060741601,31.252626995146862,144.3292444337329,5.753621933640679,140.2020904070942,6.794826785612066,637,619,0.8927080305940895,0.8999418740652003,0.8927080305940895,259
ISIC_0000030_downsampled,83.7744548397848,24.85112788827841,148.35239013474265,5.743114603879913,126.51969361519782,6.369946645390681,448,701,0.5895348283578536,0.7875839165833453,0.5895348283578536,377
ISIC_0000031_downsampled,88.26310244680245,26.489665420177186,152.8945729959568,4.180399501258334,141.76781951747307,7.4854370796718275,546,614,0.49000588447447846,0.290920825345001,0.49000588447447846,365
ISIC_0000035_downsampled,114.62242322944319,13.065803818210432,137.87290194811578,1.823795335374206,121.56948092382169,4.558341956124485,549,724,0.6675655809467628,0.7350871525485625,0.6675655809467628,482
ISIC_0000036_downsampled,72.10867759462899,24.126393117142992,137.0857700250718,2.7960690016945215,123.83275797687905,7.069494010689048,686,701,0.6890865168453701,0.10059212180791477,0.6890865168453701,331
ISIC_0000040_downsampled,94.75686833083869,11.953093851923768,133.90910627202936,2.0158273902926536,130.92564337791512,3.3089765790602628,264,253,0.8164743373086766,0.7732605861619429,0.8164743373086766,97
ISIC_0000043_downsampled,103.76776068417337,33.79301703865534,143.79087628026,5.996596811252036,143.85478215210424,8.123826269782256,686,848,0.779080083771403,0.8464714012396719,0.779080083771403,630
ISIC_0000046_downsampled,122.8218171524948,11.391775175549958,134.0665613039812,1.5273271491920752,123.19908829825503,3.694622028017299,482,595,0.8121104185218165,0.7324161275674783,0.8121104185218165,246
ISIC_0000049_downsampled,111.10265104640831,28.359443480680408,147.5261915535034,3.5330975577645227,152.56380119605097,3.9523929229705677,670,687,0.4976749510731205,0.4016365291626008,0.4976749510731205,454
ISIC_0000054_downsampled,110.60466788115446,20.34138345186942,144.02789781964037,3.208964741719108,149.46603654900292,3.075341407239858,441,481,0.7600705818921503,0.8106542712664712,0.7600705818921503,172
ISIC_0000056_downsampled,130.55909483143392,16.342214766840065,142.09182114837185,3.0382117044291803,150.14095773697937,4.482025853173972,578,658,0.7005782525465925,0.7108439709981056,0.7005782525465925,420
ISIC_0000074,72.85948369477566,20.124149009669203,133.9157482770114,2.3336290505244435,128.3803692195211,5.116941497108102,450,732,0.4269356069973228,0.5903426623802509,0.4269356069973228,294
